id,symbol,name,market_cap (usd),market_cap_rank,categories
cobak-token,cbk,Cobak,52910922,638,[]
xcad-network,xcad,XCAD Network,5749488,1781,[]
xborg,xbg,XBorg,22234259,1022,[]
arkham,arkm,Arkham,203382942,257,[]
dia-data,dia,DIA,53003295,639,[]
smart-layer-network,sln,Smart Layer Network,5758229,1773,[]
pepecoin-network,pep,Pepecoin,22237252,1020,[]
gho,gho,GHO,203873856,256,[]
gemini-dollar,gusd,Gemini Dollar,53382741,637,[]
gatsby,gatsby,GATSBY,5760962,1780,[]
sturdy,strdy,Sturdy,22353462,1018,[]
chia,xch,Chia,206736819,254,[]
dusk-network,dusk,DUSK,53514644,636,[]
karura,kar,Karura,5762384,1779,[]
neuron,nrn,Neuron,22386307,1014,[]
meow,meow,MEOW,207027882,255,[]
boba-network,boba,Boba Network,53537648,635,[]
solana,sol,Solana,70928530597,6,[]
akuma-inu,akuma,Akuma Inu,5776988,1778,[]
sx-network-2,sx,SX Network,22390345,1015,[]
stargate-finance,stg,Stargate Finance,207197729,253,[]
mines-of-dalarnia,dar,Mines of Dalarnia,53683694,634,[]
wexo,wexo,Wexo,5777091,1777,[]
funfair,fun,FUNToken,22394304,1013,[]
celo,celo,Celo,209521156,252,[]
coq-inu,coq,Coq Inu,53800741,633,[]
multibit,mubi,Multibit,5788557,1776,[]
indigo-dao-governance-token,indy,Indigo Protocol,22406555,1016,[]
holotoken,hot,Holo,213486178,251,[]
vicicoin,vcnt,ViciCoin,53838007,632,[]
eth-2x-flexible-leverage-index,eth2x-fli,Index Coop - ETH 2x Flexible Leverage Index,5792928,1775,[]
karrat,karrat,Karrat,22423474,1011,[]
notcoin,not,Notcoin,213655466,250,[]
jumbo-blockchain,jnftc,Jumbo Blockchain,53838765,631,[]
dasha,vvaifu,Dasha,5796533,1774,[]
trufin-staked-near,trunear,TruFin Staked NEAR,22472019,1010,[]
staked-frax-ether,sfrxeth,Staked Frax Ether,214562685,249,[]
stronghold-token,shx,Stronghold,53968304,630,[]
henlo-2,henlo,Henlo,5811680,1772,[]
ix-token,ixt,Planet IX,22502236,1012,[]
